transaction_id,customer_id,timestamp,amount,currency,payment_method,payment_status,failure_code,failure_reason,customer_age_days,prior_success_count,prior_failure_count,previous_recovery_count,average_transaction_value,subscription_flag,retry_count,days_since_last_payment,merchant_segment,order_value,checkout_started,checkout_completed,ground_truth_recoverable,ground_truth_recovery_action,recovered_amount
txn_44297dcc1102,cust_efead6e5,2026-07-26 15:28:16.276813,1561.17,INR,upi,failed,insufficient_funds,Customer account has insufficient balance.,791,41,5,5,1100.01,False,3,4,ecommerce,1579.74,True,True,False,CREATE_ESCALATION,0.0
txn_631184d2e0e9,cust_f667ceee,2026-08-14 15:40:16.323954,1074.9,INR,netbanking,failed,fraud_suspected,Transaction flagged by risk engine.,654,19,3,2,2081.91,False,1,12,ecommerce,1109.09,True,True,False,STOP_AUTOMATION,0.0
txn_6a050fa35cd9,cust_31c47f16,2026-08-07 16:56:16.277813,643.02,INR,upi,failed,insufficient_funds,Customer account has insufficient balance.,327,13,2,0,806.58,False,0,22,smb_saas,676.06,True,True,False,CREATE_ESCALATION,0.0
txn_9014abfe2ced,cust_7d8664b3,2026-08-06 11:13:16.244491,657.47,INR,netbanking,failed,insufficient_funds,Customer account has insufficient balance.,900,41,5,2,732.29,True,3,12,smb_saas,685.28,True,False,False,CREATE_ESCALATION,0.0
txn_35d91e83ff54,cust_440e9923,2026-08-19 21:06:16.257223,727.75,INR,netbanking,failed,insufficient_funds,Customer account has insufficient balance.,171,45,0,0,750.13,True,2,11,ecommerce,728.74,True,True,True,SEND_RECOVERY_MESSAGE,727.75
txn_3c8092706c24,cust_5c647857,2026-08-13 16:05:16.315955,98.59,INR,wallet,failed,insufficient_funds,Customer account has insufficient balance.,344,32,2,0,180.57,False,3,17,ecommerce,191.9,True,True,True,SEND_RECOVERY_MESSAGE,98.59
txn_1b9de1949c94,cust_1a9850b7,2026-08-14 10:33:16.283812,100.0,INR,card,failed,bank_timeout,Issuing bank did not respond in time.,16,43,3,1,142.48,False,1,7,mid_market,166.12,True,True,True,WAIT_AND_RETRY,100.0
txn_6f530a46601f,cust_8b1f649d,2026-08-05 15:24:16.234825,561.57,INR,card,failed,temporary_bank_failure,Bank is experiencing intermittent issues.,535,12,3,0,382.11,False,1,30,smb_saas,563.47,True,True,True,WAIT_AND_RETRY,561.57
txn_d4816f38b232,cust_d00fc118,2026-08-15 23:46:16.329954,66.14,INR,upi,failed,insufficient_funds,Customer account has insufficient balance.,454,23,1,0,94.35,False,2,27,ecommerce,116.2,True,True,False,CREATE_ESCALATION,0.0
txn_2c9f55f6afae,cust_51406d9b,2026-08-19 10:35:16.347954,556.11,INR,wallet,failed,insufficient_funds,Customer account has insufficient balance.,340,47,5,4,517.88,False,0,3,ecommerce,638.19,True,True,False,CREATE_ESCALATION,0.0
txn_c6ed7cf7a4f0,cust_2bc721c1,2026-08-17 00:29:16.241825,416.01,INR,wallet,failed,insufficient_funds,Customer account has insufficient balance.,941,5,1,0,323.86,False,0,24,smb_saas,432.94,True,True,False,CREATE_ESCALATION,0.0
txn_34cfdabf6ebb,cust_550c8cb6,2026-08-06 14:45:16.252632,6776.9,INR,wallet,failed,insufficient_funds,Customer account has insufficient balance.,874,15,0,0,12233.48,True,1,11,enterprise,6854.59,True,True,True,SEND_RECOVERY_MESSAGE,6776.9
txn_4733351209c8,cust_2a039bfa,2026-08-07 07:19:16.356096,1133.02,INR,card,failed,temporary_bank_failure,Bank is experiencing intermittent issues.,537,22,2,2,1816.42,True,1,13,ecommerce,1159.69,True,True,True,WAIT_AND_RETRY,1133.02
txn_5ec9c801c4a9,cust_0d5c9bbf,2026-08-15 01:09:16.357097,334.01,USD,netbanking,failed,authentication_failed,OTP or 3D secure authentication failed.,779,42,0,0,261.02,True,3,14,smb_saas,351.14,True,True,True,RETRY_PAYMENT,334.01
txn_2bad9e9050c9,cust_cf59ac73,2026-08-21 02:51:16.351955,240.39,INR,upi,failed,insufficient_funds,Customer account has insufficient balance.,456,31,3,1,266.47,False,2,23,smb_saas,302.67,True,True,False,CREATE_ESCALATION,0.0
txn_85de9547fda5,cust_c1e74abb,2026-08-01 03:06:16.264223,81.86,INR,wallet,failed,authentication_failed,OTP or 3D secure authentication failed.,453,41,2,1,145.36,False,0,11,smb_saas,168.2,True,True,True,RETRY_PAYMENT,81.86
txn_1013f14a6fb0,cust_3c2fce5a,2026-08-16 13:22:16.355058,313.92,INR,wallet,failed,insufficient_funds,Customer account has insufficient balance.,631,18,3,2,465.14,False,2,23,smb_saas,357.94,True,True,False,CREATE_ESCALATION,0.0
txn_fbbe65144e05,cust_b5339134,2026-08-16 15:47:16.266812,297.95,INR,card,failed,bank_timeout,Issuing bank did not respond in time.,113,7,2,2,261.72,False,1,24,ecommerce,326.72,True,False,True,WAIT_AND_RETRY,297.95
txn_e45f4cfd8a99,cust_42c349a6,2026-08-13 17:27:16.252632,1046.67,INR,netbanking,failed,insufficient_funds,Customer account has insufficient balance.,549,44,0,0,1976.05,False,2,16,enterprise,1055.42,True,True,False,CREATE_ESCALATION,0.0
txn_5ba42607b5de,cust_2bbc3270,2026-07-30 15:38:16.302954,1037.74,INR,netbanking,failed,authentication_failed,OTP or 3D secure authentication failed.,422,9,2,2,1502.61,True,0,10,ecommerce,1080.61,True,True,True,RETRY_PAYMENT,1037.74
txn_e50d7c4408ef,cust_e3c85e80,2026-07-29 11:37:16.262223,169.37,INR,netbanking,failed,insufficient_funds,Customer account has insufficient balance.,959,18,1,1,257.99,False,3,19,mid_market,189.4,True,True,True,SEND_RECOVERY_MESSAGE,169.37
txn_dd263d444a7e,cust_ce630d32,2026-08-25 10:42:16.307955,4424.38,INR,card,failed,limit_exceeded,Transaction exceeds customer limits.,491,14,1,0,2401.51,False,3,7,mid_market,4495.83,True,True,False,CREATE_ESCALATION,0.0
txn_4fa88e8a3eab,cust_d020f21e,2026-08-21 02:52:16.335955,601.18,INR,card,failed,bank_timeout,Issuing bank did not respond in time.,974,44,5,3,892.05,False,1,13,smb_saas,672.37,True,True,True,WAIT_AND_RETRY,601.18
txn_1df7a59d2695,cust_b3dcbd23,2026-08-13 03:50:16.300954,542.06,USD,netbanking,failed,authentication_failed,OTP or 3D secure authentication failed.,34,19,0,0,400.22,False,3,20,smb_saas,611.13,True,False,False,CREATE_ESCALATION,0.0
txn_603340aee28c,cust_0d8ba12b,2026-07-31 00:17:16.306955,2374.75,INR,card,failed,insufficient_funds,Customer account has insufficient balance.,467,27,2,1,1441.16,False,2,5,enterprise,2399.87,True,True,True,SEND_RECOVERY_MESSAGE,2374.75
txn_9c4cf850e8e2,cust_2cb9746f,2026-08-18 15:16:16.335955,212.57,INR,upi,failed,temporary_bank_failure,Bank is experiencing intermittent issues.,127,49,1,0,322.55,False,0,21,ecommerce,235.54,True,True,True,WAIT_AND_RETRY,212.57
txn_391aa2658d74,cust_66131e6f,2026-07-26 13:54:16.367097,8180.91,INR,upi,failed,bank_timeout,Issuing bank did not respond in time.,456,39,3,3,13649.65,True,0,26,enterprise,8267.52,True,True,True,WAIT_AND_RETRY,8180.91
txn_8c9727ec3c51,cust_4d3eacf0,2026-08-18 18:06:16.267812,1464.64,INR,netbanking,failed,fraud_suspected,Transaction flagged by risk engine.,263,39,3,3,1388.14,False,0,12,mid_market,1468.34,True,True,False,STOP_AUTOMATION,0.0
txn_f177aa0e2818,cust_419b2d46,2026-08-07 16:21:16.306955,607.38,INR,netbanking,failed,bank_timeout,Issuing bank did not respond in time.,541,36,3,2,543.71,False,0,17,ecommerce,704.71,True,True,True,WAIT_AND_RETRY,607.38
txn_26c29fee5274,cust_0d1fa72f,2026-08-07 23:44:16.295908,1109.71,INR,netbanking,failed,bank_timeout,Issuing bank did not respond in time.,360,38,0,0,1569.2,False,1,30,ecommerce,1133.69,True,True,True,WAIT_AND_RETRY,1109.71
txn_c43e886c1cb5,cust_4464d3fa,2026-08-25 18:07:16.248632,86.26,INR,netbanking,failed,bank_timeout,Issuing bank did not respond in time.,91,23,5,4,78.72,True,3,18,smb_saas,98.55,True,True,True,WAIT_AND_RETRY,86.26
txn_028b3691fb30,cust_69bec34e,2026-08-22 14:57:16.361096,1737.79,INR,card,failed,insufficient_funds,Customer account has insufficient balance.,855,33,0,0,1296.96,False,1,23,ecommerce,1811.83,True,True,False,CREATE_ESCALATION,0.0
txn_68f9acef2609,cust_8940a33f,2026-08-05 13:05:16.277813,1199.31,USD,wallet,failed,authentication_failed,OTP or 3D secure authentication failed.,490,47,0,0,924.63,False,2,28,ecommerce,1290.72,True,True,True,RETRY_PAYMENT,1199.31
txn_e69f3b73411d,cust_779c063e,2026-08-01 12:10:16.353498,414.55,INR,wallet,failed,fraud_suspected,Transaction flagged by risk engine.,654,9,2,2,782.51,False,2,20,ecommerce,498.39,True,True,False,STOP_AUTOMATION,0.0
txn_dd214e826aaa,cust_4dfa4bef,2026-08-05 18:20:16.297955,587.59,INR,netbanking,failed,limit_exceeded,Transaction exceeds customer limits.,423,22,5,2,809.16,False,2,12,ecommerce,641.68,True,True,False,CREATE_ESCALATION,0.0
txn_14f27a2d9d68,cust_e43799d0,2026-08-11 00:48:16.222629,335.91,INR,upi,failed,authentication_failed,OTP or 3D secure authentication failed.,855,23,4,4,242.57,True,2,11,ecommerce,425.81,True,True,False,CREATE_ESCALATION,0.0
txn_6f7e5cf7ed0d,cust_b599d46b,2026-08-01 22:40:16.261223,1071.2,INR,netbanking,failed,insufficient_funds,Customer account has insufficient balance.,590,6,1,0,1566.75,False,3,30,enterprise,1168.49,True,True,True,SEND_RECOVERY_MESSAGE,1071.2
txn_a6ad021e5b96,cust_4e5321f9,2026-08-11 21:20:16.349954,1482.02,INR,wallet,failed,bank_timeout,Issuing bank did not respond in time.,48,50,1,0,2169.32,False,1,18,mid_market,1556.54,True,False,True,WAIT_AND_RETRY,1482.02
txn_53d14194da26,cust_734559f4,2026-07-29 00:57:16.349954,317.36,USD,upi,failed,insufficient_funds,Customer account has insufficient balance.,696,43,0,0,210.75,False,1,23,ecommerce,345.03,True,False,True,SEND_RECOVERY_MESSAGE,317.36
txn_2e1436db6948,cust_5acd9c9b,2026-08-08 06:00:16.229825,957.27,INR,upi,failed,authentication_failed,OTP or 3D secure authentication failed.,203,31,3,1,1284.42,False,1,7,ecommerce,964.43,True,True,True,RETRY_PAYMENT,957.27
txn_64c5cd6d4c19,cust_1854de50,2026-08-19 08:01:16.320954,472.51,INR,upi,failed,insufficient_funds,Customer account has insufficient balance.,617,46,2,0,403.33,True,3,23,ecommerce,532.27,True,False,True,SEND_RECOVERY_MESSAGE,472.51
